iter	Passed	Remaining
0	6	5529
1	11	4760
2	15	4529
3	19	4144
4	23	3998
5	29	4212
6	33	4078
7	36	3922
8	40	3893
9	43	3691
10	47	3714
11	52	3724
12	54	3562
13	56	3406
14	58	3308
15	60	3187
16	61	3091
17	63	3002
18	65	2925
19	67	2865
20	74	2987
21	84	3227
22	86	3156
23	87	3075
24	89	3002
25	90	2928
26	92	2863
27	94	2820
28	96	2791
29	98	2745
30	100	2700
31	102	2666
32	104	2626
33	106	2614
34	109	2608
35	112	2585
36	114	2555
37	115	2521
38	118	2501
39	120	2483
40	122	2460
41	124	2433
42	125	2400
43	128	2400
44	130	2379
45	132	2353
46	135	2358
47	137	2337
48	138	2312
49	140	2293
50	142	2275
51	144	2252
52	145	2233
53	147	2216
54	149	2196
55	150	2174
56	152	2168
57	154	2152
58	156	2131
59	157	2113
60	159	2100
61	161	2086
62	163	2076
63	164	2061
64	166	2051
65	168	2036
66	169	2019
67	171	2013
68	173	2002
69	175	1987
70	176	1975
71	178	1967
72	181	1964
73	182	1952
74	184	1942
75	186	1936
76	188	1927
77	190	1917
78	192	1912
79	193	1902
80	195	1890
81	196	1880
82	199	1876
83	200	1865
84	201	1853
85	203	1846
86	205	1838
87	207	1829
88	208	1820
89	210	1815
90	212	1806
91	213	1795
92	215	1787
93	227	1866
94	229	1862
95	231	1855
96	233	1844
97	234	1834
98	236	1829
99	238	1822
100	239	1812
101	241	1804
102	243	1798
103	245	1793
104	246	1786
105	248	1780
106	250	1774
107	252	1772
108	254	1767
109	256	1761
110	258	1754
111	259	1745
112	261	1740
113	263	1735
114	264	1727
115	266	1719
116	268	1715
117	270	1712
118	272	1705
119	274	1701
120	275	1696
121	277	1690
122	279	1684
123	281	1680
124	283	1677
125	285	1671
126	286	1667
127	289	1664
128	290	1659
129	292	1654
130	294	1649
131	296	1644
132	298	1642
133	300	1636
134	301	1632
135	303	1626
136	305	1621
137	307	1617
138	308	1611
139	309	1605
140	311	1601
141	313	1597
142	315	1591
143	316	1584
144	318	1582
145	320	1577
146	321	1571
147	323	1566
148	325	1563
149	327	1559
150	328	1553
151	330	1548
152	331	1544
153	333	1541
154	335	1536
155	337	1533
156	339	1529
157	340	1524
158	342	1519
159	343	1515
160	345	1512
161	347	1507
162	348	1501
163	350	1498
164	352	1495
165	353	1490
166	355	1484
167	357	1481
168	358	1477
169	360	1472
170	362	1470
171	364	1470
172	366	1467
173	368	1463
174	371	1463
175	372	1460
176	374	1456
177	376	1454
178	378	1450
179	380	1446
180	381	1441
181	382	1436
182	384	1432
183	385	1428
184	388	1427
185	390	1424
186	392	1421
187	393	1418
188	396	1419
189	398	1414
190	399	1410
191	401	1407
192	403	1404
193	404	1400
194	406	1396
195	408	1394
196	410	1391
197	411	1386
198	413	1382
199	415	1380
200	416	1377
201	418	1372
202	421	1373
203	422	1370
204	424	1366
205	426	1365
206	428	1363
207	430	1358
208	431	1355
209	433	1352
210	435	1349
211	436	1345
212	438	1343
213	441	1342
214	443	1339
215	444	1336
216	446	1334
217	448	1331
218	450	1327
219	452	1325
220	453	1322
221	455	1318
222	456	1314
223	458	1312
224	460	1309
225	462	1308
226	465	1307
227	466	1304
228	468	1301
229	469	1297
230	471	1294
231	473	1291
232	474	1287
233	476	1285
234	478	1283
235	480	1280
236	482	1277
237	484	1277
238	486	1274
239	488	1271
240	490	1268
241	492	1267
242	493	1263
243	495	1260
244	497	1258
245	499	1256
246	500	1252
247	502	1250
248	504	1248
249	505	1244
250	507	1241
251	509	1239
252	510	1236
253	512	1232
254	514	1231
255	516	1229
256	518	1225
257	519	1222
258	521	1219
259	523	1217
260	524	1214
261	526	1211
262	528	1208
263	528	1203
264	530	1200
265	531	1197
266	533	1195
267	535	1192
268	536	1189
269	538	1185
270	540	1184
271	542	1182
272	543	1179
273	545	1176
274	547	1174
275	549	1171
276	550	1168
277	552	1166
278	554	1163
279	555	1160
280	557	1157
281	558	1155
282	560	1153
283	562	1151
284	564	1148
285	566	1146
286	567	1143
287	569	1141
288	571	1139
289	573	1136
290	574	1133
291	576	1132
292	578	1129
293	580	1126
294	581	1123
295	583	1121
296	584	1118
297	586	1116
298	588	1114
299	590	1112
300	592	1109
301	593	1106
302	595	1105
303	597	1102
304	598	1099
305	600	1096
306	602	1094
307	604	1093
308	606	1091
309	608	1089
310	610	1087
311	611	1084
312	613	1082
313	615	1079
314	616	1077
315	618	1074
316	620	1072
317	621	1069
318	623	1067
319	625	1065
320	627	1063
321	629	1061
322	631	1059
323	633	1057
324	635	1055
325	636	1052
326	637	1049
327	640	1047
328	641	1045
329	643	1042
330	645	1041
331	647	1039
332	649	1037
333	650	1034
334	653	1033
335	654	1030
336	656	1027
337	657	1025
338	659	1023
339	661	1021
340	664	1020
341	666	1019
342	668	1016
343	670	1015
344	672	1013
345	673	1010
346	675	1008
347	677	1006
348	678	1003
