Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih,Proporsi Wanita Menikah/Menjadi Ibu di Usia Muda,Persentase Bayi Usia 0-6 Bulan Mendapatkan ASI,Melahirkan di Faskes
ACEH,2018,96.75,87.15,70.68,8.68,20.7,2101.57,58.99,15.97,67.09,5.29,33.33,86.12
SUMATERA UTARA,2018,95.76,87.97,68.34,5.75,18.7,2184.97,63.38,9.22,74.6,4.9,25.69,72.9
SUMATERA BARAT,2018,90.54,82.59,65.34,5.45,16.9,2156.7,59.01,6.65,56.85,6.68,50.4,91.76
RIAU,2018,95.39,83.45,63.71,9.66,15.6,2079.67,58.47,7.39,71.48,7.93,36.29,71.25
JAMBI,2018,94.62,83.29,66.06,10.05,13.1,2106.1,57.73,7.92,63.99,12.71,62.67,60.11
SUMATERA SELATAN,2018,94.02,84.18,63.94,10.84,12.3,2134.53,59.34,12.8,68.6,12.07,41.56,73.43
BENGKULU,2018,93.2,86.34,58.86,8.71,12.8,2162.35,59.37,15.43,44.31,14.33,46.78,63.81
LAMPUNG,2018,95.39,85.09,54.89,12.11,12.9,2082.31,56.29,13.14,52.48,10.7,44.58,85
KEP. BANGKA BELITUNG,2018,92.04,79.7,55.01,10.07,17.1,2137.94,64.25,5.25,85.64,14.22,34.56,88.04
KEP. RIAU,2018,98.13,90.15,82.86,4.38,11.5,2115.22,63.59,6.2,85.07,4.68,53.85,92.37
DKI JAKARTA,2018,95.26,92.8,83.48,1.46,13.2,2229.75,72.49,3.57,90.73,4.06,45.66,97.19
JAWA BARAT,2018,97.08,85.18,61.04,3.82,10.6,2215.58,64.82,7.45,64.73,13.26,44.67,82.22
JAWA TENGAH,2018,96.15,86.9,55.62,11.22,15,2106.67,60.61,11.32,74.04,11.04,50.56,96.77
DI YOGYAKARTA,2018,95.12,92.66,81.96,8.7,11.3,2223.71,70.18,12.13,88.92,6.2,55.7,99.05
JAWA TIMUR,2018,95.7,86.04,62.48,7.4,15.2,2132.82,61.78,10.98,68.84,12.71,40.79,93.69
BANTEN,2018,95.35,85.21,67.54,2.95,13.6,2261.77,66.88,5.24,70.65,6.78,36.83,79.4
BALI,2018,96.4,93.78,78.67,2.73,12.8,2282.83,65.62,4.01,91.14,8.55,27.08,99.87
NUSA TENGGARA BARAT,2018,97.59,87.88,52.6,5.97,18.8,2316.43,68.04,14.75,73.7,15.48,64.25,89.63
NUSA TENGGARA TIMUR,2018,83.87,71.42,43.41,13.46,24.5,1956.37,53.4,21.35,50.72,8.78,62.17,76.42
KALIMANTAN BARAT,2018,86.44,71.47,47.66,18.68,19.5,1924.96,55.66,7.77,53.97,17.46,51.37,64.93
KALIMANTAN TENGAH,2018,93.33,79.87,53.47,8.71,18.5,2181.57,63.62,5.17,52.55,19.13,44.11,47.68
KALIMANTAN SELATAN,2018,92.2,84.05,61.09,2.67,18.4,2268.53,67.83,4.54,62.76,17.63,40.69,77.27
KALIMANTAN TIMUR,2018,95.32,89.14,68.73,10.18,10.8,1998.36,62.11,6.03,79.19,11.54,59,87.34
KALIMANTAN UTARA,2018,92.03,82.85,58.22,11.05,17.5,1973.97,62.68,7.09,71.75,12.42,46.25,84.29
SULAWESI UTARA,2018,95.48,86.72,70.02,3.12,17.2,2208.57,65.09,7.8,75.23,14.88,33.62,83.9
SULAWESI TENGAH,2018,91.44,78.61,53.84,6.95,19.3,2087.03,57.9,14.01,64.15,15.84,41.91,70.5
SULAWESI SELATAN,2018,94.05,83.32,56.86,6.22,19.6,2183.61,63.03,9.06,79.61,14.1,52.18,83.5
SULAWESI TENGGARA,2018,95.25,86.05,67.67,7.12,19.5,2125.18,62,11.63,69.9,18.96,34.96,47.74
GORONTALO,2018,88.24,77.41,52.39,11.55,24.1,2053.45,58.98,16.81,64.3,15.29,42.19,86.63
SULAWESI BARAT,2018,92.6,78.83,37.65,10.23,19.9,2042.54,55.08,11.25,63.21,19.43,61.77,69.87
MALUKU,2018,94.49,86.38,66.42,34.17,22.8,1780.9,50.21,18.12,69.05,8.94,36.36,33.91
MALUKU UTARA,2018,95.65,85.39,60.07,30.75,20.9,1820.23,49.17,6.64,66.96,13.36,64.28,41.12
PAPUA BARAT,2018,86.46,81.19,60.47,21.18,18.2,1944.26,56.48,23.01,73.95,11.16,35.01,59.46
PAPUA,2018,71.83,57.19,29.56,38.35,16.2,1842.23,44.04,27.74,33.75,11.52,43.48,53.11
ACEH,2019,98.6,89.5,69.96,9.41,34.18,2059.02,58.88,15.32,73.16,6.59,62.81,88.8
SUMATERA UTARA,2019,97.12,88.26,65.21,4.84,30.11,2177.35,63.49,8.83,79.59,6.5,50.2,78.44
SUMATERA BARAT,2019,91.25,84.07,60.32,4.9,27.46,2131.23,58.66,6.42,63.98,5.96,69.23,92.6
RIAU,2019,95.11,84.97,58.78,8.32,23.95,2068.89,58.24,7.08,80.04,8.3,60.71,74.38
JAMBI,2019,96.99,84.4,56.87,8.95,21.03,2057.48,57.83,7.6,75.6,14.78,64.87,65.59
SUMATERA SELATAN,2019,96.08,83.4,58.23,9.04,28.98,2121.99,59.9,12.71,74.67,13.53,64.39,78.95
BENGKULU,2019,93.33,85.13,61.47,7.66,26.86,2086.11,58.28,15.23,75.91,13.24,60.86,72.35
LAMPUNG,2019,96.05,84.08,54.87,10.51,26.25,2050.79,57.3,12.62,79.22,12.1,66.84,86.85
KEP. BANGKA BELITUNG,2019,92.8,77.96,53.84,7.85,19.93,2150.84,67.2,4.62,90.32,15.48,39.64,91
KEP. RIAU,2019,95.69,91.56,78.14,4.08,16.81,2131.06,65.83,5.9,89.13,3.82,57.31,92.41
DKI JAKARTA,2019,96.05,93.02,84.35,1.43,19.95,2191.06,70.75,3.47,92.89,3.12,68.08,98.81
JAWA BARAT,2019,97.92,85.53,57.46,3.7,26.21,2196.68,64.84,6.91,69.64,12.33,71.11,85.41
JAWA TENGAH,2019,96.61,85.47,49.79,11.61,27.67,2045.63,59.8,10.8,80.29,10.19,72,98.08
DI YOGYAKARTA,2019,94.92,92.34,84.54,7.35,21.03,2200.67,70.43,11.7,94.67,3.06,74.9,99.79
JAWA TIMUR,2019,96.3,86.21,57.74,7.47,26.85,2088.09,60.79,10.37,78.78,11.11,68.68,95.11
BANTEN,2019,96.26,87.4,56.94,2.13,24.1,2248.65,67.07,5.09,81.01,6,64.55,83.36
BALI,2019,98.34,93.33,64.52,2.91,14.41,2257.48,65.99,3.79,94.59,10.18,69.87,99.84
NUSA TENGGARA BARAT,2019,96.62,88.64,57.6,2.77,37.85,2451.65,74.29,14.56,80.02,16.09,74.92,93.16
NUSA TENGGARA TIMUR,2019,87.39,74.31,43.85,14.11,43.82,1916.72,53.78,21.09,64.55,8.51,75.05,79.06
KALIMANTAN BARAT,2019,88.23,72.78,49.29,19.11,31.45,1912.03,55.82,7.49,72.08,17.86,59.41,71.91
KALIMANTAN TENGAH,2019,94.66,81.01,50.01,9.38,32.3,2148.8,63.33,4.98,69.23,20.16,50.48,56.82
KALIMANTAN SELATAN,2019,91.85,82.77,59.52,2.51,31.74,2270.35,68.13,4.55,76.56,21.18,65.97,77.6
KALIMANTAN TIMUR,2019,96.07,86.98,64.74,6.97,28.08,2022.32,63.52,5.94,89.27,12.36,71.08,89.31
