iter	Passed	Remaining
0	2	1954
1	3	1299
2	5	1519
3	7	1608
4	8	1514
5	10	1565
6	13	1622
7	15	1632
8	15	1491
9	18	1574
10	20	1580
11	22	1568
12	24	1593
13	26	1590
14	27	1576
15	29	1570
16	31	1579
17	33	1571
18	34	1556
19	36	1563
20	38	1563
21	40	1559
22	42	1554
23	44	1567
24	46	1562
25	47	1534
26	49	1542
27	51	1538
28	53	1531
29	55	1533
30	57	1534
31	58	1529
32	60	1523
33	62	1528
34	64	1522
35	65	1517
36	67	1512
37	69	1514
38	71	1510
39	73	1508
40	75	1507
41	76	1506
42	78	1505
43	80	1503
44	82	1507
45	84	1500
46	85	1494
47	87	1493
48	89	1495
49	91	1493
50	93	1491
51	95	1497
52	97	1497
53	99	1497
54	101	1498
55	103	1499
56	105	1498
57	107	1500
58	109	1498
59	111	1495
60	113	1492
61	115	1493
62	116	1477
63	117	1473
64	119	1470
65	121	1472
66	123	1472
67	125	1471
68	127	1472
69	129	1469
70	131	1465
71	131	1449
72	133	1450
73	135	1443
74	136	1440
75	138	1436
76	140	1436
77	141	1432
78	143	1429
79	145	1425
80	147	1427
81	149	1427
82	151	1424
83	153	1425
84	155	1424
85	157	1422
86	158	1419
87	160	1419
88	162	1416
89	164	1414
90	166	1416
91	168	1414
92	170	1412
93	172	1412
94	174	1411
95	176	1412
96	178	1414
97	180	1411
98	182	1410
99	184	1408
100	186	1409
101	188	1407
102	190	1406
103	192	1410
104	194	1408
105	196	1404
106	198	1404
107	200	1403
108	202	1401
109	204	1400
110	206	1401
111	208	1399
112	209	1396
113	212	1397
114	213	1395
115	215	1394
116	218	1396
117	220	1395
118	222	1393
119	224	1393
120	226	1391
121	227	1388
122	229	1386
123	231	1385
124	234	1389
125	236	1388
126	238	1388
127	240	1386
128	242	1384
129	244	1384
130	246	1383
131	248	1382
132	251	1383
133	253	1381
134	255	1380
135	257	1379
136	259	1376
137	260	1374
138	263	1375
139	265	1375
140	267	1373
141	270	1379
142	273	1379
143	275	1380
144	277	1379
145	279	1378
146	282	1377
147	284	1380
148	286	1378
149	289	1381
150	291	1379
151	294	1379
152	296	1378
153	298	1376
154	300	1376
155	302	1375
156	304	1374
157	306	1372
158	309	1372
159	311	1370
160	312	1367
161	315	1367
162	316	1364
163	318	1361
164	321	1362
165	322	1359
166	324	1356
167	326	1354
168	328	1351
169	329	1348
170	331	1345
171	333	1345
172	335	1343
173	337	1340
174	340	1341
175	342	1339
176	344	1337
177	346	1336
178	348	1336
179	350	1334
180	352	1332
181	354	1330
182	356	1327
183	358	1326
184	360	1324
185	362	1323
186	364	1321
187	366	1320
188	368	1317
189	370	1314
190	372	1314
191	374	1311
192	375	1308
193	378	1307
194	379	1305
195	380	1298
196	381	1294
197	383	1292
198	385	1290
199	387	1287
200	388	1284
201	390	1282
202	392	1281
203	394	1278
204	396	1275
205	398	1274
206	400	1271
207	401	1268
208	403	1266
209	405	1265
210	406	1259
211	408	1256
212	409	1254
213	412	1253
214	413	1250
215	415	1248
216	417	1247
217	419	1244
218	421	1242
219	423	1241
220	425	1240
221	427	1237
222	429	1235
223	431	1233
224	432	1230
225	434	1228
226	437	1228
227	438	1226
228	440	1224
229	442	1222
230	444	1220
231	446	1217
232	447	1214
233	450	1214
234	452	1212
235	453	1209
236	455	1207
237	457	1205
238	459	1203
239	461	1201
240	463	1199
241	465	1197
242	466	1195
243	469	1194
244	471	1191
245	472	1189
246	474	1187
247	476	1184
248	477	1181
249	479	1179
250	481	1178
251	483	1176
252	485	1173
253	485	1168
254	487	1166
255	489	1164
256	491	1162
257	492	1159
258	495	1158
259	496	1155
260	498	1153
261	500	1151
262	502	1149
263	503	1145
264	505	1143
265	506	1141
266	508	1139
267	510	1137
268	512	1134
269	514	1133
270	516	1131
271	517	1129
272	519	1127
273	522	1126
274	523	1123
275	525	1121
276	527	1120
277	529	1118
278	531	1116
279	534	1115
280	536	1115
281	538	1113
282	540	1112
283	542	1109
284	544	1107
285	546	1105
286	546	1100
287	548	1098
288	550	1096
289	552	1094
290	554	1093
291	557	1093
292	560	1094
293	564	1095
294	566	1094
295	568	1092
296	569	1088
297	570	1086
298	573	1084
299	574	1082
300	577	1081
301	580	1081
302	581	1079
303	583	1077
304	585	1075
305	587	1073
306	589	1070
307	590	1068
308	592	1066
309	594	1064
310	596	1062
311	598	1060
312	600	1058
313	602	1056
314	603	1054
315	605	1052
316	607	1050
317	609	1048
318	611	1046
319	613	1044
320	614	1041
321	616	1039
322	618	1038
323	620	1036
324	622	1034
325	624	1032
326	626	1030
327	627	1028
328	629	1026
329	631	1024
330	633	1021
331	635	1019
332	637	1017
333	639	1015
334	640	1013
335	642	1011
336	644	1009
337	646	1007
338	648	1005
339	649	1003
340	651	1001
341	653	999
342	655	997
343	657	996
344	659	994
345	661	991
346	661	987
347	663	986
348	665	984
349	667	982
350	669	980
351	671	978
352	671	973
353	672	970
354	674	968
355	675	966
356	677	964
357	679	962
358	681	960
359	683	958
360	685	956
361	686	954
362	688	952
363	690	950
364	691	946
365	692	944
366	694	942
367	697	941
368	698	939
369	700	937
370	702	935
371	704	933
372	705	931
373	707	928
374	709	927
375	711	925
376	713	923
377	714	921
378	716	919
379	718	917
380	720	915
381	722	913
382	724	912
383	726	909
384	728	907
385	729	905
386	731	903
